PD,LGD,EAD,DF,Stage,ECL_base,ECL_Optimistic,ECL_Base,ECL_Pessimistic,ECL_weighted,actual_default
0.1758,0.45,71640.0,0.9524,2,5396.7896,11333.2582,16190.3688,24285.5533,16999.8873,0
0.6024,0.45,31264.0,0.9524,3,8071.6496,16950.4642,24214.9489,36322.4233,25425.6963,1
0.3499,0.45,16008.0,0.9524,2,2400.5523,5041.1598,7201.6568,10802.4852,7561.7397,0
0.1993,0.45,79512.0,0.9524,2,6793.1026,14265.5154,20379.3078,30568.9616,21398.2731,0
0.7874,0.45,48000.0,0.9524,3,16197.0439,34013.7921,48591.1316,61714.2857,48227.5853,0
0.1386,0.45,17596.0,0.9524,2,1045.5567,2195.669,3136.67,4705.0051,3293.5035,0
0.1152,0.45,64800.0,0.9524,2,3198.3341,6716.5016,9595.0023,14392.5034,10074.7524,0
0.1394,0.45,156000.0,0.9524,2,9318.6808,19569.2298,27956.0425,41934.0638,29353.8447,0
0.3139,0.45,45000.0,0.9524,2,6052.9781,12711.254,18158.9343,27238.4015,19066.881,0
0.4975,0.45,123000.0,0.9524,3,26225.8821,55074.3523,78677.6462,118016.4693,82611.5285,1
0.1571,0.45,36000.0,0.9524,2,2423.2319,5088.787,7269.6958,10904.5437,7633.1806,0
0.9918,0.45,48000.0,0.9524,3,20402.4485,42845.1419,61207.3455,61714.2857,56743.5297,0
0.3773,0.45,22668.0,0.9524,2,3665.1427,7696.7996,10995.428,16493.142,11545.1994,0
0.6407,0.45,19689.0,0.9524,3,5406.3541,11353.3436,16219.0623,24328.5934,17030.0154,0
0.2987,0.45,33150.0,0.9524,2,4244.067,8912.5407,12732.201,19098.3015,13368.8111,0
0.1948,0.45,24120.0,0.9524,2,2013.5246,4228.4016,6040.5738,9060.8607,6342.6025,0
0.6474,0.45,14400.0,0.9524,3,3995.4515,8390.4482,11986.3545,17979.5318,12585.6723,0
0.1905,0.45,64800.0,0.9524,2,5290.0393,11109.0826,15870.118,23805.177,16663.6239,0
0.1856,0.45,32400.0,0.9524,2,2576.5917,5410.8425,7729.775,11594.6626,8116.2638,0
0.2659,0.45,20100.0,0.9524,2,2290.8497,4810.7844,6872.5492,10308.8238,7216.1766,0
0.8914,0.45,9999.0,0.9524,3,3820.012,8022.0253,11460.0361,12855.8571,10949.4887,1
0.2042,0.45,42600.0,0.9524,2,3728.2252,7829.273,11184.6756,16777.0135,11743.9094,0
0.2666,0.45,46500.0,0.9524,2,5312.2692,11155.7654,15936.8077,23905.2115,16733.6481,0
0.1486,0.45,21147.0,0.9524,2,1346.5301,2827.7132,4039.5903,6059.3855,4241.5698,0
0.1593,0.45,84492.0,0.9524,2,5768.1544,12113.1243,17304.4633,25956.6949,18169.6864,0
0.1793,0.45,33600.0,0.9524,2,2582.0743,5422.3561,7746.223,11619.3345,8133.5341,0
0.1988,0.45,35712.0,0.9524,2,3043.1659,6390.6483,9129.4976,13694.2463,9585.9724,0
0.6701,0.45,39384.0,0.9524,3,11311.0326,23753.1685,33933.0978,50636.5714,35563.9839,0
0.1086,0.45,116568.0,0.9524,2,5427.6438,11398.052,16282.9315,24424.3972,17097.078,0
0.1564,0.45,120000.0,0.9524,2,8043.4744,16891.2962,24130.4231,36195.6347,25336.9443,0
0.1022,0.45,32272.0,0.9524,2,1413.5159,2968.3833,4240.5476,6360.8214,4452.575,0
0.1354,0.45,23188.8,0.9524,2,1345.2977,2825.1252,4035.8932,6053.8398,4237.6879,0
0.2868,0.45,4.0,0.9524,2,0.4916,1.0324,1.4748,2.2122,1.5486,0
0.531,0.45,75996.0,0.9524,3,17293.0922,36315.4935,51879.2765,77818.9147,54473.2403,0
0.1341,0.45,64800.0,0.9524,2,3723.5987,7819.5574,11170.7962,16756.1944,11729.336,0
0.4548,0.45,24600.0,0.9524,2,4794.9712,10069.4394,14384.9135,21577.3702,15104.1591,0
0.2031,0.45,33200.0,0.9524,2,2889.3811,6067.7002,8668.1432,13002.2148,9101.5503,0
0.6413,0.45,64800.0,0.9524,3,17810.238,37401.4998,53430.714,80146.0709,56102.2497,0
0.1162,0.45,36000.0,0.9524,2,1793.4122,3766.1657,5380.2367,8070.3551,5649.2485,0
0.1702,0.45,64800.0,0.9524,2,4727.2348,9927.193,14181.7043,21272.5565,14890.7896,0
0.13,0.45,183144.0,0.9524,2,10204.4709,21429.3889,30613.4127,45920.119,32144.0833,0
0.1597,0.45,63000.0,0.9524,2,4312.0334,9055.2701,12936.1001,19404.1501,13582.9051,0
